local_timestamp,eeg_timestamp,label
1768153462.698123,2754717.5632558498,PromptStart_Trial_50
1768153467.6834474,2754722.54858145,PromptEnd_Trial_50
1768153467.6836112,2754722.5487451497,FixationStart_Trial_50
1768153468.6879663,2754723.55310035,FixationEnd_Trial_50
1768153468.6881306,2754723.55326455,PostureStart_Trial_50
1768153471.7036314,2754726.56876555,PostureEnd_Trial_50
1768153471.7038162,2754726.56895015,TrialEnd_Trial_50
1768153472.2165835,2754727.08171715,Trial_50_Complete
1768153472.2335165,2754727.09865025,Trial_51_Start
1768153472.2336798,2754727.09881395,Posture_A_Extend_your_arm_after_the_sound
1768153472.2338002,2754727.09893315,PromptStart_Trial_51
1768153477.2189448,2754732.08408125,PromptEnd_Trial_51
1768153477.2191124,2754732.08424635,FixationStart_Trial_51
1768153478.2198305,2754733.0849642497,FixationEnd_Trial_51
1768153478.2199578,2754733.08509165,PostureStart_Trial_51
1768153481.2316484,2754736.09678235,PostureEnd_Trial_51
1768153481.23177,2754736.0969029497,TrialEnd_Trial_51
1768153481.7388887,2754736.60402225,Trial_51_Complete
1768153481.7559137,2754736.62104715,Trial_52_Start
1768153481.7560408,2754736.62117345,Posture_A_Rest_your_arm_extended_after_the_sound
1768153481.7560785,2754736.62121135,PromptStart_Trial_52
1768153486.7506726,2754741.61580645,PromptEnd_Trial_52
1768153486.750834,2754741.6159678497,FixationStart_Trial_52
1768153487.7666519,2754742.63178605,FixationEnd_Trial_52
1768153487.7668347,2754742.63196905,PostureStart_Trial_52
1768153490.7682507,2754745.63338445,PostureEnd_Trial_52
1768153490.768398,2754745.63353165,TrialEnd_Trial_52
1768153491.2773435,2754746.14247815,Trial_52_Complete
1768153491.2933106,2754746.15844395,Trial_53_Start
1768153491.2934582,2754746.15859215,Posture_A_Flex_your_arm_after_the_sound
1768153491.2935903,2754746.15872405,PromptStart_Trial_53
1768153496.2832658,2754751.14839935,PromptEnd_Trial_53
1768153496.283385,2754751.1485177497,FixationStart_Trial_53
1768153497.2965097,2754752.16164595,FixationEnd_Trial_53
1768153497.2966757,2754752.16181105,PostureStart_Trial_53
1768153500.3023577,2754755.16749345,PostureEnd_Trial_53
1768153500.3025315,2754755.16766555,TrialEnd_Trial_53
1768153500.8030996,2754755.66823345,Trial_53_Complete
1768153500.819316,2754755.6844491498,Trial_54_Start
1768153500.8193955,2754755.68452845,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153500.819471,2754755.68460335,PromptStart_Trial_54
1768153505.8097913,2754760.6749250498,PromptEnd_Trial_54
1768153505.8099296,2754760.67506425,FixationStart_Trial_54
1768153506.8262193,2754761.6913531497,FixationEnd_Trial_54
1768153506.826369,2754761.69150185,PostureStart_Trial_54
1768153509.8294988,2754764.69463225,PostureEnd_Trial_54
1768153509.8296583,2754764.69479235,TrialEnd_Trial_54
1768153510.3299668,2754765.19510075,Trial_54_Complete
1768153510.3468356,2754765.21196945,Trial_55_Start
1768153510.3470018,2754765.21213585,Posture_A_Extend_your_arm_after_the_sound
1768153510.3471203,2754765.21225335,PromptStart_Trial_55
1768153515.341439,2754770.20657285,PromptEnd_Trial_55
1768153515.34157,2754770.20670365,FixationStart_Trial_55
1768153516.341747,2754771.20688085,FixationEnd_Trial_55
1768153516.3419101,2754771.20704395,PostureStart_Trial_55
1768153519.3526309,2754774.21776595,PostureEnd_Trial_55
1768153519.3528185,2754774.21795255,TrialEnd_Trial_55
1768153519.8699996,2754774.73513515,Trial_55_Complete
1768153519.8860483,2754774.7511818497,Trial_56_Start
1768153519.886184,2754774.75131685,Posture_A_Rest_your_arm_extended_after_the_sound
1768153519.886222,2754774.75135435,PromptStart_Trial_56
1768153524.874384,2754779.73951755,PromptEnd_Trial_56
1768153524.8745463,2754779.7396802497,FixationStart_Trial_56
1768153525.8868964,2754780.75203005,FixationEnd_Trial_56
1768153525.887041,2754780.75217465,PostureStart_Trial_56
1768153528.8872268,2754783.75236085,PostureEnd_Trial_56
1768153528.8873594,2754783.75249355,TrialEnd_Trial_56
1768153529.4019248,2754784.26705905,Trial_56_Complete
1768153529.418332,2754784.28346585,Trial_57_Start
1768153529.418475,2754784.28360825,Posture_A_Flex_your_arm_after_the_sound
1768153529.4185507,2754784.28368345,PromptStart_Trial_57
1768153534.4168012,2754789.28193525,PromptEnd_Trial_57
